400,0.02
405,0.031
410,0.058
415,0.175
420,0.758
425,3.186
430,10.824
435,28.363
440,56.619
445,85.817
450,98.708
455,86.362
460,58.769
465,37.722
470,43.434
475,76.807
480,104.475
485,97.623
490,74.672
495,59.746
500,50.348
505,39.834
510,33.598
515,33.764
520,35.256
525,41.354
530,45.992
535,44.713
540,38.025
545,30.169
550,28.224
555,27.972
560,28.172
565,28.631
570,29.674
575,31.752
580,34.946
585,38.182
590,40.275
595,41.334
600,41.645
605,41.1
610,39.986
615,38.954
620,38.331
625,37.871
630,38.269
635,43.469
640,45.284
645,26.44
650,14.511
655,10.177
660,7.431
665,5.489
670,4.105
675,3.111
680,2.389
685,1.861
690,1.471
695,1.18
